video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=jBqvq-KA85c&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@CzechITHub,Czech IT Hub,Exploring Europe's Capital Towns: Ultimate Guide to Public Transport,10,2 weeks,"Welcome to our ultimate guide to public transport in Europe's capital towns! In this exciting video, we take you on a captivating ...",2024-01-25 20:37:49.067115
/watch?v=GSQSBoHmG8s&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@distilled-earth,Distilled,How Paris is Leading a Sustainable Transportation Revolution,191K,8 months,"-- All across Paris, streets that used to be choked with traffic and pollution have been converted to bike paths and protected lanes.",2024-01-25 20:37:49.068315
/watch?v=gMFf5io5WZo&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@RMTransit,RMTransit,The Weirdest Metro System in the World | Amsterdam Metro,323K,1 year,"Special thanks to Not Just Bikes, Christopher Livett, & YaBoiExter for helping with this video! Not Just Bikes: ...",2024-01-25 20:37:49.069589
/watch?v=HvZd8p65XFM&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@ibx2cat,ibx2cat,The USA Is Actually The Best In The World For Public Transport*,40K,1 year,"For the situation, and if you count public transport as actually meaning public transport rather than public sector transport if you ...",2024-01-25 20:37:49.071000
/watch?v=C_A_Em1HEHA&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@MetropoleWien,Metropole – Vienna in English,Sphera | Metropole – Vienna in English | Public Transportation in Europe,21,2 years,"Due to climate change, the EU's goal is to cut transport-related CO2 emissions by taking cars off the road and focusing on more ...",2024-01-25 20:37:49.072390
/shorts/2dBhqNaRLtU,/@WoltersWorldShorts,Wolters World Shorts,Public Transportation is easy pickings for pickpockets in Europe #europe,805,11 months,"Watch the Whole Video: Pickpockets are not everywhere when you travel in Europe, but it is a good idea to know how pickpockets ...",2024-01-25 20:37:49.073748
/shorts/p1Cmh-M_QUw,/@NotJustBikes,Not Just Bikes,How we got to Berlin from Amsterdam #traintravel #berlin #shorts #deutschebahn,1.4M,1 year,"Last week we took a trip from Amsterdam to Berlin. There's nothing particularly unique about this journey in Europe, but as a North ...",2024-01-25 20:37:49.076409
/shorts/7gqeKUShfag,/@Jeanelleats,Jeanelleats,Why I can't use public transportation,3.1M,2 years,"• • • • • • • • • • • • • • • • • • ☼ Cooking and camera gear: https://kit.co/jeanelleats (Some of these are affiliate links, and they support ...",2024-01-25 20:37:49.077841
/watch?v=VYxCD7IAviI&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@rwhealthy,rwhealthy,Public Transportation in Europe,26,9 months,"If you wish to have more time and want disposable income, check this link out: https://7dayshift.com/show-me?fpr=ronald70.",2024-01-25 20:37:59.763139
/watch?v=irCCyFM0LtU&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@RMTransit,RMTransit,This Small City Metro is Bigger than Yours | Oslo Metro Explained,302K,1 year,"RMTransit is here to answer that, and help you open your eyes to all of the different public transportation systems around the ...",2024-01-25 20:37:59.765524
