video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=P5gux_0-qCg&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@climateandtransit,Climate and Transit,The American Transit Tier List,74K,3 months,Here is my tier list of all the transit systems I have taken over the past year. This covers a lot of transit in the US and ranks it on a ...,2024-01-25 20:43:35.345575
/watch?v=620i2rZ50hw&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@noahburkley7048,Noah Burkley,Public Transportation in North America - A Documentary,107,3 years,This Documentary focuses on public transportation in North America since 1631. This documentary will be entered into the ...,2024-01-25 20:43:35.348252
/watch?v=nCgFYReYr44&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@RMTransit,RMTransit,Can North America Have Walkable Cities? | Responding to Linus Tech Tips,163K,9 months,When my favourite YouTuber (Linus of LinusTechTips) had a hot take on cities and transit this week I knew it was time for a ...,2024-01-25 20:43:35.350955
/watch?v=-cjfTG8DbwA&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@Wendoverproductions,Wendover Productions,Why Public Transportation Sucks in the US,3.4M,6 years,Streetcar POV footage courtesy David Lemon Portland streetcar footage courtesy Schrodinger's Press Modern streetcar POV ...,2024-01-25 20:43:35.353502
/watch?v=DK2e3HzNK50&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@LearnTheCultureYT,Learn The Culture,"Public Transportation in North America (USA, Canada, and others)",9,4 months,Are you unfamiliar with public transportation in North America? No worries! This video is here to assist you. Get acquainted with ...,2024-01-25 20:43:35.356046
/watch?v=HvZd8p65XFM&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@ibx2cat,ibx2cat,The USA Is Actually The Best In The World For Public Transport*,40K,1 year,"For the situation, and if you count public transport as actually meaning public transport rather than public sector transport if you ...",2024-01-25 20:43:35.358837
/watch?v=YH0XdrD7Gnw&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@CityNerd,CityNerd,Top 10 Cities for Bus Rapid Transit in North America - Plus Bonus Mexico City Content,57K,2 years,"We haven't given buses nearly enough love on this channel, so now it's time to look at Bus Rapid Transit, what it is, and which ...",2024-01-25 20:43:35.361341
/watch?v=ZabaKdmynF8&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@OhTheUrbanity,Oh The Urbanity!,Top 10 Most Urbanist Cities in North America,138K,8 months,"What are the most “urbanist” cities in North America, the places you might gravitate to if you enjoy dense, lively, mixed-use ...",2024-01-25 20:43:35.363952
/watch?v=_yDtLv-7xZ4&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@NotJustBikes,Not Just Bikes,I Visited the Best* City in North America,996K,1 month,"— I've been making videos for over four years, and there's one very consistent message I've received over and over: that I need to ...",2024-01-25 20:43:35.367853
/watch?v=0fVmQR1GONk&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@CityNerd,CityNerd,Regional Rail Systems in North America: Top 10 Train Networks That Connect Suburbs to Cities,101K,1 year,"We used to call these ""commuter rail"" services. But given regional transportation needs and a worldwide pandemic, Regional Rail ...",2024-01-25 20:43:35.370518
/watch?v=o8EbItbgiYk&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@RMTransit,RMTransit,North America's Surviving Streetcar Networks | Philadelphia Trolley,68K,1 year,"Philadelphia has North America's other major legacy streetcar networks, and it has really good plans to modernize it! Let's take a ...",2024-01-25 20:43:42.695765
/watch?v=yOGIXGTYYJ4&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@CityNerd,CityNerd,"Urbanism In North America: Sadly, F Tier Is Insufficiently Bad",346K,9 months,"Why merely rank the urbanism of North American cities when you can organize them into arbitrarily stratified tiers? Yeah, that's ...",2024-01-25 20:43:42.699021
/shorts/-GDZ_vJ2pLA,/@Christian.Grossi,Christian Grossi,How Bad Is American Public Transportation,19K,1 year,shorts #travel #backpacking.,2024-01-25 20:43:42.701734
/watch?v=PUaNGCY6JZo&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@CityNerd,CityNerd,Transit On the Water: Top 10 Ferry and Water Taxi Cities in North America,40K,1 year,"Nearly every city has a close relationship to a bay or river -- bodies of water are critical to commercial activity, tourism, and a city's ...",2024-01-25 20:43:42.704298
/watch?v=dIpdoW_uqpI&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@AllTheUrbanLegends,Urban Legends,The Real Reason US Public Transit Is Such A Mess - Part 1,7.3K,1 month,"There are a lot of stories about why US cities are the way they are and, in particular, there are a lot of videos about why US public ...",2024-01-25 20:43:42.707300
/watch?v=na_uEr4Tk94&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@RMTransit,RMTransit,North America is FINALLY getting with the times!,123K,7 months,"Decades after platform screen doors started being introduced in systems across the world, Toronto is finally retrofitting them in, ...",2024-01-25 20:43:42.710128
/watch?v=FlrYsr7KvFU&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@RMTransit,RMTransit,How to ACTUALLY Get America to Build Transit,59K,5 days,"There is more support than ever for public transport in America, but getting the right transit built requires many stars to be aligned.",2024-01-25 20:43:42.711974
/watch?v=EYQdA2-eJ6g&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@CityNerd,CityNerd,North America's Best Airport-Transit Connections -- Where Does Your Airport Rank?,90K,2 years,"Since there's no true high speed rail in North America, we fly a lot! But we still like to get to our destinations efficiently. This week ...",2024-01-25 20:43:42.713872
/watch?v=wvIKRPWMa_c&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@techfeed1108,Tech Feed,These North American cities have the best public transit systems,1.8K,6 years,These North American cities have the best public transit systems. oneinchpunch/Shutterstock Global consultancy firm Arcadis put ...,2024-01-25 20:43:42.716098
/watch?v=-Mh1UctlSOg&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@CityNerd,CityNerd,"On the Right Track: The 10 Most Improved Cities In the U.S. for Transit, Walking, and Biking",507K,1 year,Today we're looking at the United States' most improved cities when it comes to reducing car dependency. I used census data ...,2024-01-25 20:43:42.719639
/watch?v=REni8Oi1QJQ&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@NotJustBikes,Not Just Bikes,The Dumbest Excuse for Bad Cities,2.3M,7 months,"I have no interest in making “debunking” videos, but there's one lame excuse that is so common, so prevalent, so ubiquitous, that I ...",2024-01-25 20:43:42.723535
/watch?v=EkSTlKaC3eg&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@CityNerd,CityNerd,"10 Best Universities for Urbanism In North America: Colleges With Great Transit, Walking and Biking",140K,1 year,"This won't be your typical ""best universities"" list -- rather, these are the best colleges, not necessarily in terms of exclusivity or ...",2024-01-25 20:43:42.726245
/watch?v=pNH05BczfZw&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@CityNerd,CityNerd,The 10 Worst Transit Cities: US Metro Areas Where Taking the Bus or Rail May Just Crush Your Soul,181K,1 year,What are the worst cities in America in 2022 for public transportation? In a previous video we looked at the ten US urbanized ...,2024-01-25 20:43:42.729119
/watch?v=HtzXXnBcpfs&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@ThomasFromPHX,Thomas Y,Walkable & Affordable: 5 American Cities That Have Both,80K,1 year,"For this video, I wanted to go over a few cities that give their residents good, walkable neighborhoods and a reasonable cost of ...",2024-01-25 20:43:42.732953
/watch?v=0X69dUt16BI&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@RMTransit,RMTransit,My Top 10 Metro Systems of the World,545K,1 year,"There are lots of metro systems in the world - some great, some good, and some... not so good. But which ones do I think are the ...",2024-01-25 20:43:42.735812
/watch?v=COrGXKPEqu4&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@CityNerd,CityNerd,The Best Suburbs In North America: 10 Places With Great Urbanism Outside the Core City,388K,1 year,"Today's video features -- suburbs! A typical ""best suburbs in America"" list would focus on things like ""good"" schools, low crime ...",2024-01-25 20:43:42.738604
/watch?v=UWeIBJKgn_o&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@MotoringTV,Motoring TV,North America's mass transit is the automobile,326,7 years,"Jim Kenzie finds it a touch on the ironic side that Detroit's version of mass transit, the Detroit People Mover, runs right through the ...",2024-01-25 20:43:42.741580
/watch?v=cRF8sz5HC6U&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@CNBC,CNBC,How An Autonomous Train-Bus Hybrid Could Transform City Transit,439K,11 months,"Autonomous Rapid Transit is a cross between light rail and a city bus. Created by the CRRC in China, it's a cost-effective ...",2024-01-25 20:43:42.744783
/watch?v=von_IMi97-w&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@Vox,Vox,What I learned from taking a train across the US,1.4M,6 months,Here's how US train travel went from excellent to mediocre. Subscribe and turn on notifications so you don't miss any videos: ...,2024-01-25 20:43:42.747842
/watch?v=0czF1HB08vQ&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@strongtowns,Strong Towns,Why is the Best Public Transit in the US at Disney World?,17K,1 year,"In this excerpt from the Not Just Bikes X Strong Towns podcast on public transit, Jason Slaughter and Chuck Marohn discuss why ...",2024-01-25 20:43:42.750765
/watch?v=0lNyPlQWRAg&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@MilesinTransit,Miles in Transit,I Rode From Washington to Boston Using ONLY Public Transit!,127K,7 months,Check out Manta Sleep at https://bit.ly/42sO2mR and use promo code POORBID for 10% off your order! Glad I finally get to check ...,2024-01-25 20:43:51.575160
/watch?v=7W8J9hO-ztU&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@MilesinTransit,Miles in Transit,This is America's Weirdest Metro System (feat. Classy Whale),49K,11 months,"Cleveland's Red Line challenges the notion that the term ""heavy rail"" means anything. Check out Caleb's video where we explore ...",2024-01-25 20:43:51.576367
/watch?v=lfH9GZmTDM0&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@040_inhvanquyen4,040_Đinh Văn Quyền,These north american cities have the best public transit systems- News Australia,24,6 years,Thanks you for watching Don't forget like and subscribe this channel About the Video / Community Guidelines :- This footage is ...,2024-01-25 20:43:51.577536
/shorts/rpC23tMAGXc,/@Canadian_vibes,CANADIAN VIBE'S,How to use Canada public Transit || Canadian Transportation system explain..!!🇨🇦🍁,87K,1 year,YouTube video - #canada #canadavibes #canadianvibes #shorts #trending #iphone14 #iphone14promax ...,2024-01-25 20:43:51.578834
/watch?v=b6X312phkUw&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@RMTransit,RMTransit,"So, the US Actually *Can* Design Great Transit | Washington Metro",323K,1 year,"The Washington Metro has a special place in my heart, with its grand architecture, large trains, and impressive city centre tunnels ...",2024-01-25 20:43:51.582895
/watch?v=dv0dmweLRIw&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@Retropeacock,The 1950s Channel ∗ Retro Peacock TV,Mass Transportation in the 1960s: Public Transit Systems of North America (including TTC),15K,9 years,Please leave a comment if you can identify the locations in this film! This rare and fascinating video provides a glimpse of public ...,2024-01-25 20:43:51.584381
/watch?v=PU0oJqxyJ9E&pp=ygUkcHVibGljIHRyYW5zcG9ydGF0aW9uIG5vcnRoIGFtZXJpY2Fu,/@ibx2cat,ibx2cat,Roads In America Are Actually Public Transportation,25K,1 year,"the weird parallels, transport is transport and it's all public in funding lol. If you want to support more videos like this one, I have a ...",2024-01-25 20:43:51.588756
/shorts/uVPgo4AChSo,/@travelingseeing,Traveling & seeing,The Top 10 U S  Cities With Best Public Transportation#short,168,1 year,The Top 10 U S  Cities With Best Public Transportation Whether you're looking for a city to stay in while you're in the U.S. or you're ...,2024-01-25 20:43:51.590639
